ReadGroup	Position	EventType	Scaling	Observations	firstDerivative	SecondDerivative	F	hasConverged
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	1	M	1.05211	6.68836	0	0	5.76233e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	2	M	0.998586	6.68801	0	0	4.80884e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	3	M	1.00565	6.68839	0	0	3.50125e-05	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	4	M	1.00357	6.68864	0	0	2.76714e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	5	M	1.01561	6.68874	0	0	2.4957e-05	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	6	M	1.06126	6.68877	0	0	1.42514e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	7	M	0.78294	6.68891	0	0	1.33803e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	8	M	0.691507	6.68903	0	0	6.63177e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	9	M	0.910101	6.68924	0	0	2.71606e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	10	M	0.92223	6.68936	0	0	5.81972e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	11	M	0.980916	6.68959	0	0	1.18647e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	12	M	0.946072	6.68973	0	0	1.7156e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	13	M	0.958265	6.68987	0	0	7.1863e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	14	M	0.976004	6.69004	0	0	3.36994e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	15	M	1.00582	6.69019	0	0	5.04904e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	16	M	1.01502	6.69037	0	0	2.22223e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	17	M	0.98743	6.69049	0	0	2.72186e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	18	M	1.02368	6.69065	0	0	5.57945e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	19	M	0.978604	6.6909	0	0	3.12106e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	20	M	0.982163	6.69104	0	0	2.06024e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	21	M	0.987464	6.69124	0	0	1.11818e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	22	M	1.03637	6.69131	0	0	6.27999e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	23	M	0.974382	6.69152	0	0	4.18031e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	24	M	0.987353	6.69172	0	0	9.29738e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	25	M	1.00775	6.69179	0	0	6.99084e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	26	M	0.95872	6.69188	0	0	7.41033e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	27	M	1.0437	6.69208	0	0	1.71818e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	28	M	1.02597	6.69224	0	0	6.41385e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	29	M	0.940247	6.69223	0	0	2.65204e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	30	M	0.98996	6.69236	0	0	7.62179e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	31	M	1.0101	6.69245	0	0	1.51283e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	32	M	1.00366	6.69252	0	0	3.64356e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	33	M	0.987976	6.69257	0	0	3.71098e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	34	M	1.01639	6.69255	0	0	5.14874e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	35	M	0.94207	6.69257	0	0	2.5469e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	36	M	1.02014	6.69258	0	0	5.39193e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	37	M	1.00907	6.69256	0	0	2.32092e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	38	M	0.988594	6.6926	0	0	3.19236e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	39	M	0.968461	6.69253	0	0	5.67195e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	40	M	1.00706	6.69256	0	0	6.70814e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	41	M	1.01061	6.69255	0	0	8.97758e-08	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	42	M	1.02086	6.69264	0	0	4.8272e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	43	M	0.966601	6.69273	0	0	2.01877e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	44	M	0.974728	6.69275	0	0	6.41793e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	45	M	1.00788	6.69262	0	0	5.12712e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	46	M	0.998462	6.69256	0	0	1.14807e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	47	M	1.0259	6.69252	0	0	3.3902e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	48	M	0.975197	6.69255	0	0	1.41821e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	49	M	0.991003	6.69255	0	0	6.07831e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	50	M	0.981033	6.69254	0	0	3.11139e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	51	M	1.02956	6.69243	0	0	9.56644e-07	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	52	M	0.994687	6.69231	0	0	4.96057e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	53	M	0.997079	6.69233	0	0	2.22012e-06	1
HWI-ST558:341:C7R9TACXX_BAR8_UDG_plus100	54	M	0.970831	6.69236	0	0	5.99333e-07	1
